t_min,freq_hz,whp_bar,intake_p_bar,current_a,load_pct,q_liq_m3d,motor_t_c,casing_p_bar,operating_mode,quality_ok
0.0,50.00628651105467,22.11752917726952,85.51124291697343,47.51231097867238,72.22310886421916,120.52884809371628,93.9110869337606,13.585122567843536,production,1.0
1.0,49.993394756835436,21.811187166370882,85.0995734778556,48.36520040553574,73.01009784275675,120.4249809259415,95.22618540733647,13.990789286962269,production,1.0
2.0,50.03202113252216,21.605794461373826,84.45671535373849,47.59964983688014,71.6363195389452,120.59666033068527,95.11108426117876,14.14726340608074,production,1.0
3.0,50.00524500585765,22.704759007650104,84.34655305370678,47.329547391416156,71.25089764226215,119.72111299894867,94.92550008110356,14.131903462051465,production,1.0
4.0,49.97321653134195,21.942936723836105,84.98950873109361,48.04978919534247,71.39536110288803,121.48183262983969,95.14020276211988,14.053988750687383,production,1.0
5.0,50.01807975274547,22.767920418751046,85.2290635063724,48.62832380509454,71.6796736994734,119.65150454176754,95.38361562430707,14.33755428028,production,1.0
6.0,50.0652000022565,21.73690929144696,85.34377190034981,46.84038067059184,72.13310865144085,118.32891521980248,94.64059008560584,13.685278719182627,production,1.0
7.0,50.047354048156464,22.514190821410406,85.51802044365328,47.64695105598857,72.01783986807366,121.1174179995979,95.21589689597407,13.611007038346264,production,1.0
8.0,49.96481323820965,21.93182458748478,85.64355625627415,47.504094775481974,71.81967644917158,122.33245369393238,95.76992754435305,13.424815810129338,production,1.0
9.0,49.9367289264477,22.182404526272606,83.62092125852953,47.24363790818416,71.23225841390098,118.9733532100158,95.24494360526812,14.076019819046259,production,1.0
10.0,49.968836276873134,22.5041146052738,85.6117887940159,47.9283433199173,71.86059256919096,120.01749183288483,95.16763898681157,14.158985839614422,production,1.0
11.0,50.002066298967364,22.19578299485587,84.44820793606786,47.239729003913254,72.30508942188756,119.33082279117072,95.05025219919872,14.059489519689494,production,1.0
12.0,49.883748461268056,22.34193650004675,85.75206391546831,48.11177060619312,72.64024520252534,119.71054564107521,94.41380148834824,14.042449014590954,production,1.0
13.0,49.989060416803376,21.39746878907506,85.29254916777971,48.08837538033324,72.77276514100714,120.23643670816423,95.78218396224811,13.387475622268095,production,1.0
14.0,49.93770445263735,21.840093257561755,85.47583136539633,48.166825526778176,72.29666428172891,118.70482080611083,94.86693062773395,14.143114655319641,production,1.0
15.0,49.96338663226483,22.843980804376933,84.7798655048536,48.941366342660864,72.16998654713969,119.87565750203134,95.09843676817097,13.906631546933344,production,1.0
16.0,49.972787050857136,21.936180054789116,85.28092927358767,47.27529059514514,71.47212734242721,118.46351609787725,94.93435802559662,14.522024397785154,production,1.0
17.0,49.98418499218154,22.157013734363723,83.99791998126952,47.692724930982244,72.14214694132168,119.5546218922776,94.9108874354156,13.626687984150053,production,1.0
18.0,50.02058152681871,21.966050986517352,85.78229554205494,47.52189942825167,72.77296345220172,118.82701155928058,94.79895541499914,13.66941080671641,production,1.0
19.0,50.05212566847214,21.78437831205488,84.93353484150406,47.62289743637496,71.96413292562279,118.99320333002491,94.74689442929352,14.105523067521133,production,1.0
20.0,49.9935732668528,21.437106089736133,83.58547036523537,47.933772831695705,72.26860010313146,118.21394426747725,95.57035068448116,13.442924174694262,production,1.0
21.0,50.06832317352748,21.57975040394257,85.78267855258925,48.56313919707856,72.17694956791,121.7548023472666,95.79223650043474,13.762563319655992,production,1.0
22.0,49.96674026632567,22.711189909785183,86.15871143229266,47.88444453941339,72.37579050988782,120.91616529428994,95.2355450288588,14.421341486447973,production,1.0
23.0,50.01757550350465,22.008249332132113,84.63381663769134,48.36855664772516,71.24621284020522,118.01803184291973,94.54202684133737,14.132112502464896,production,1.0
24.0,50.04517350908259,21.566058883962953,85.89395528412985,47.8066511706323,71.19317969626718,119.61646559245096,95.09165663127017,13.878819547991798,production,1.0
